Catalyst,x,y,z,ddG (% ee)
16_2_1,-18.03291747,42.0560594,-13.36405444,0
16_2_2,-17.87713004,42.13363551,-13.015541,0
16_2_3,-17.70112004,42.36154466,-12.63755056,0
16_2_4,-18.51005717,41.61571634,-14.11025646,0
16_2_5,-18.34531986,41.76141615,-13.86077217,0
16_2_6,-17.46434553,42.72053586,-12.16143172,0
16_3_1,12.84187252,79.98549962,-33.76785898,0.004738225
16_3_2,15.00373746,80.70309582,-30.51012334,0.009476602
16_3_3,18.00076676,81.20094868,-27.08321032,0
16_3_4,-20.82767299,40.74237746,-78.50834901,0.005922799
16_3_5,-28.45021997,33.13445753,77.12264508,0
16_3_6,33.01981112,80.20565484,-4.047277077,0
16_4_1,-19.50283601,40.46743669,-11.44450871,0
16_4_2,-19.85672704,40.1019419,-11.92297043,0
16_4_3,-19.66035429,40.38326663,-11.64667511,0
16_4_4,-19.59465572,40.35145808,-11.56035592,0
16_4_5,-19.34011382,40.55375179,-11.21732499,0
16_4_6,-19.8779121,40.27658926,-12.06591176,0
16_5_1,-24.4730951,39.1643464,-56.1345804,0
16_5_2,-20.63876837,45.17193932,-52.42207307,0
16_5_3,-24.12865847,39.74952785,-55.8580566,0
16_5_4,-25.47208715,37.54851738,-56.87239765,0
16_5_5,-26.77949545,35.51638329,-57.67833707,0
